Педагог дополнительного образования (программирование scratch/python, робототехника lego) | Будьте первым | от 18000 руб. | Проведение образовательных программ на доп. площадке центра - в п. Ильинское и в г. Жуковский МО. Контроль выполнения учениками…Коммуникабельность, грамотно поставленная речь. Наличие мед.книжки. Желание развиваться и повышать квалификацию. Наличие… | https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-44818691.html
Middle/Senior Python Developer | None | до 330000 руб | Разработка API. - Разработка архитектурных решений действующего проекта. - Интеграции с внешними сервисами. - Работа с базами данных PostgreSQL. - Работа с брокерами сообщений. | https://hh.ru/vacancy/69674119
Ведущий Python-developer | None | 220000 - 340000 руб | Разрабатывать распределенные высоконагруженные информационные системы. Разрабатывать объекты бизнес-логики и эффективные методы для доступа к данным. Оптимизировать скорость обращения к... | https://hh.ru/vacancy/47897255
С++ Developer (Python) | None | от 150000 руб | Реализация и поддержка функционала на C++ по извлечению и расшифровыванию данных из мобильных устройств на основе <highlighttext>Python</highlighttext> прототипов.  | https://hh.ru/vacancy/55099089
Python Developer (Data направление) | None | от 150000 руб | Мигрировать даги с Airflow c Астрономера на Кубер. Мы готовы оперативно выходить с оффером, если понимаем, что подходим друг другу.  | https://hh.ru/vacancy/70406724
Automation QA specialist (Python) | Удаленная работа | 0 руб | для описания тестовых сценариев используется Confluence. - для разработки тестов используется <highlighttext>Python</highlighttext> 3.8 а также фреймворк PyTest. - для автоматизации процесса... | https://hh.ru/vacancy/70475469
Разработчик Python | None | 0 руб | Разработка новых модулей и расширение существующего функционала систем по требованиям заказчика. Работа с системой контроля версий и системой управления проектом... | https://hh.ru/vacancy/51472686
Python developer (проекты) | None | 0 руб | Мы - NtechLab - компания-разработчик продуктов для интеллектуальной видеоаналитики на базе собственных алгоритмов, в том числе алгоритма распознавания лиц.  | https://hh.ru/vacancy/69533479
Программист JavaScript, Python | None | от 60000 руб | Разработка отдельных веб-приложений. Интеграция со сторонними сервисами. | https://hh.ru/vacancy/67607743
Full-stack разработчик (Python/JS) | Удаленная работа | до 220000 руб | Разрабатывать внутренние web-сервисы на <highlighttext>Python</highlighttext>. Взаимодействие в команде по внутренней методологии разработке ПО (Scrum). Разрабатывать удобные инструменты управления платформой... | https://hh.ru/vacancy/69430786
Python Junior | None | 40000 - 50000 руб | Написание API ClickHouse, Postgres. | https://hh.ru/vacancy/70101418
Fullstack разработчик (Python, JavaScript) | Удаленная работа | 150000 - 200000 руб | 2. Кастомизированный и индивидуальный подход к подбору и выделению целевой аудитории. 3. Работа с большинством имеющихся медийных форматов размещения. 4.  | https://hh.ru/vacancy/70461371
Дата инженер (Data engineer) Управление модельных рисков и валидации | None | 0 руб | ...помощью <highlighttext>Python</highlighttext>. Построение витрин данных (SQL, <highlighttext>Python</highlighttext>). Преобразование данных из различных форматов (xml, json) к табличному виду с помощью <highlighttext>Python</highlighttext>.  | https://hh.ru/vacancy/70506992
Data Engineer | Удаленная работа | 0 руб | Анализ и разработка ETL-процедур в контуре систем по управлению данными. Управление качеством реализации ETL-процедур. Автоматизация скриптов дата-аналитиков... | https://hh.ru/vacancy/70145451
Преподаватель Python (ООП) | Опыт не нужен | до 120000 руб | Преподавать можно очно в отделениях в Московской области (Королев, Мытищи, Пушкино) и совмещать с ведением занятий в наших Московских отделениях. | https://hh.ru/vacancy/70219528
Python разработчик в CM.Expert (Яндекс Вертикали) | None | 0 руб | Вместе с нами решать сложные архитектурные вопросы. Выполнять обилие разных задач: продуктовые, которые приносят пользу пользователям, совместные задачи с ML... | https://hh.ru/vacancy/68613226
Разработчик C (удаленная работа) | Удаленная работа | до 350000 руб | Исследования, проработка архитектуры ПО, разработка ПО, тестирование, документирование, пуск в эксплуатацию программно-аппаратных комплексов. Разработка высокопроизводительного программного обеспечения способного обрабатывать... | https://hh.ru/vacancy/69896092
Программист Python | None | 0 руб | Разработка клиентских приложений реализующих удаленное управление, обработку и представление видео и телеметрической информации. Разработка сервисов, обеспечивающих обмен и преобразование данных. | https://hh.ru/vacancy/67711604
Разработчик С++ / Python (HSM) | None | 0 руб | Участие в разработке новых возможностей продукта. Сопровождение предыдущих версий продукта: доработки и исправление ошибок. Проведение review кода других программистов в... | https://hh.ru/vacancy/69604696
Junior Full Stack Web-разработчик (Python) | Опыт не нужен | 0 руб | Поддержка, доработка и разработка. Внутренних сайтов и сервисов компании. Внешних Web-проектов компании. Поддержка и разработка демо-площадок для презентаций... | https://hh.ru/vacancy/67881931
Программист баз данных и backend (PostgreSQL, Python) | None | до 300000 руб | Разработка модулей серверной части ПО, входящих в линейку продуктов компании. Определение узких мест производительности и рекомендации по их устранению.  | https://hh.ru/vacancy/69639405
Python Developer (middle/Senior) | None | 0 руб | Управление жизненным циклом приложений, разворачиваемых в изолированных технологических сегментах предприятий: Механизмы для доставки, запуска, эксплуатации сервисов. Централизованные решения для конфигурирования... | https://hh.ru/vacancy/70355102
Разработчик Python (Django, DRF) | Удаленная работа | от 200000 руб | Разработка backend на Django. Разработка REST сервисов. Разработка async сервисов. Разработка клиентов для работы со сторонними API. Написание unit тестов.  | https://hh.ru/vacancy/69163405
Преподаватель программирования Python для детей (удаленно) | None | 25000 - 55000 руб | Разработка игр <highlighttext>Python</highlighttext>. Web-программирование: фронтенд (HTML, CSS, JavaScript). Web-программирование: бэкенд (<highlighttext>Python</highlighttext> Django). Графический дизайн (Canva, Figma, Tilda).  | https://hh.ru/vacancy/69991080
Программист Python | Удаленная работа | от 180000 руб | ...в роли <highlighttext>python</highlighttext> разработчика. Разработка технических решений. Планирование, оценка и кодирование задач, code-review. Разработка бекенд части (<highlighttext>Python</highlighttext>/Django).  | https://hh.ru/vacancy/70062000
Middle Python developer / Django разработчик | None | 80000 - 120000 руб | Разработка компонентов, модулей, сайтов, скриптов и api на <highlighttext>Python</highlighttext>. | https://hh.ru/vacancy/70228373
Python программист (Наставник онлайн-курса по Python) | Удаленная работа | до 80000 руб | Отвечает на вопросы студентов в учебном чате или мессенджере. Делает код-ревью проектов и практик. Проводит дополнительные активности (вебинары, слаконары... | https://hh.ru/vacancy/67864415
Ведущий Python разработчик | Удаленная работа | 0 руб | Разработка архитектуры новой системы управления документами. Написание и ревью кода на <highlighttext>Python</highlighttext>. Работа с PostgreSQL (делать миграции, модели, писать SQL... | https://hh.ru/vacancy/69984876
Backend Developer (Python) | None | 150000 - 150000 руб | Разработка и поддержка REST API сервиса хранения, учёта и обработки данных физ. лиц. | https://hh.ru/vacancy/69379938
Middle Backend Python Developer | None | 0 руб | Находимся в поиске <highlighttext>Python</highlighttext>-разработчика в команду B2C. Будем дорабатывать CRM-систему и разрабатывать чат поддержки пользователей (интеграции... | https://hh.ru/vacancy/70504371
Python developer (Django) | Удаленная работа | 0 руб | Дополнительные бонусы: аккредитованная IT-компания, программа лояльности, скидки от партнеров, программа материальной помощи, сервис по отслеживанию физического и ментального здоровья... | https://hh.ru/vacancy/70365578
Backend Developer (Python) | None | 0 руб | Разрабатывать и деплоить сервисы, обеспечивающие работу Cloud изнутри. Вместе с командой формировать и налаживать эффективные рабочие процессы. Прорабатывать решения Firewall... | https://hh.ru/vacancy/68702720
Математик - программист | None | 0 руб | Формулировать оптимизационные задачи (линейное программирование, программирование в ограничениях) на базе как коммерческих солверов CPLEX, Gurobi (<highlighttext>Python</highlighttext> API), так и на... | https://hh.ru/vacancy/69184943
Аналитик | Опыт не нужен | 0 руб | 3. Формирование SQL-запросов. 4. Работа с данными <highlighttext>Python</highlighttext>, использование библиотеки Pandas. 5. Проведение A/B-тестов. 6.  | https://hh.ru/vacancy/70537810
Data Engineer | Удаленная работа | от 150000 руб | Проектировать и собирать витрины данных по разработанному ТЗ. Проектировать, разрабатывать и поддерживать ETL-процессы для загрузки данных из/в Data... | https://hh.ru/vacancy/69761586
Server Programmer (Python) | None | 0 руб | Созданием и развитием технологий, позволяющих играть друг с другом людям из разных уголков мира с минимальными пингами. Созданием и поддержкой... | https://hh.ru/vacancy/68381368
Python developer (Core команда) | None | 0 руб | Разработка и поддержка: Сore-сервисов, являющихся основной для всех других продуктов: Механизмы лицензирования и сервер лицензий. Библиотеки <highlighttext>Python</highlighttext>-клиентов к... | https://hh.ru/vacancy/69533152
Разработчик С++ / Python (HSM) | None | 0 руб | Участие в разработке новых возможностей продукта. Сопровождение предыдущих версий продукта: доработки и исправление ошибок. Проведение review кода других программистов в... | https://hh.ru/vacancy/69604947
Data Analyst | Удаленная работа | 0 руб | Поиск, сбор, подготовка, анализ и визуализация данных. Анализ и сегментация клиентской базы. Анализ и прогноз эффективности по CVM активностям.  | https://hh.ru/vacancy/69900837
Python разработчик (дистанционно) | Удаленная работа | 0 руб | Разработкой Web продуктов и сервисов. Анализом новых технологий, внедрением их на проект. Доработкой/оптимизацией архитектуры. Взаимодействовать с распределенной командой.  | https://hh.ru/vacancy/70194277
Python разработчик Middle/Senior | None | от 200000 руб | Управления командой разработчиков. Постановки задач, декомпозиции. Ревью кода. Сборки / подготовки релизов. WebSocket, Elastic, consul, Docker, Linux. Строительства распределенных систем и... | https://hh.ru/vacancy/68701573
Data Engineer (Python), remote | Удаленная работа | 0 руб | Develop analytical tools across numerous DeFi projects. Study DeFi protocols to analyze investment opportunities. Build data pipelines from multiple blockchain... | https://hh.ru/vacancy/70195952
Game Analyst | None | 0 руб | Владеть" аналитикой продукта: следить за чистотой данных на входе, отслеживать и решать ошибки с командой разработки, предлагать оптимизации к дата... | https://hh.ru/vacancy/69685007
Python разработчик (Middle) | None | 0 руб | Наша команда разрабатывает много крутых продуктов по разным направлениям деятельности: например, автоматизируем процессы в сфере образования (продукты "Электронная школа", "Электронный... | https://hh.ru/vacancy/67713063
Senior / Middle Python developer | None | 200000 - 300000 руб | Доработка текущих микросервисов и разработка новых сервисов. Оптимизация работы сервисов с точки зрения алгоритмов. Проведение ревью кода коллег.  | https://hh.ru/vacancy/69546136
Python developer (г. Томск) | Опыт не нужен | 30000 - 90000 руб | Автоматизация процесса поиска и сбора финансовой информации. Подключение новых источников и провайдеров данных. Участие в проектировании новых систем.  | https://hh.ru/vacancy/70105519
Middle+ Data scientist / ML разработчик. | None | от 200000 руб | Основной проект компании - разработка унифицированной платформы для создания, тестирования и непрерывной поставки готовых торговых роботов для биржевой торговли.  | https://hh.ru/vacancy/69374505
Senior Backend Developer (Python) | None | до 360000 руб | Participation in the full development cycle, from design to deployment. Development of the protocol and application business logic.  | https://hh.ru/vacancy/70519037
Разработчик python | None | 0 руб | Разработка, поддержка и развитие собственной “системы компьютерной симуляции и тестирования стратегий”. (<highlighttext>Python</highlighttext>, SQL, Git ). Разработка новых модулей системы для бэктестинга... | https://hh.ru/vacancy/69592503
Python developer (Django) | Удаленная работа | 0 руб | Дополнительные бонусы: аккредитованная IT-компания, программа лояльности, скидки от партнеров, программа материальной помощи, сервис по отслеживанию физического и ментального здоровья... | https://hh.ru/vacancy/70365651
Middle Python разработчик | None | 100000 - 200000 руб | Разработка продукта EvaTeam. Активно улучшать продукт, делая новые фичи. Участие в улучшении и доработке текущей архитектуры. Улучшение внутренних процессов работы... | https://hh.ru/vacancy/69576084
BI Engineer (Tableau) | None | от 250000 руб | SQL - для запросов к СУБД, также для анализа и обработки данных, создания и обновления витрин. <highlighttext>Python</highlighttext> для анализа и обработки... | https://hh.ru/vacancy/69123619
DevOps engineer \ Девопс инженер (удалённо) | Удаленная работа | 180000 - 230000 руб | Сопровождение инфраструктуры текущих проектов. Настройка и развитие CI\CD процессов на базе GitLab. Автоматизация рутинных процессов. Консультирование разработчиков.  | https://hh.ru/vacancy/70230966
Python developer | None | 0 руб | Участвовать в разработке проектов компании (основной язык программирования - <highlighttext>Python</highlighttext>). Разрабатывать и поддерживать интеграции со сторонними API. Взаимодействовать с командой аналитиков... | https://hh.ru/vacancy/68151170
Middle Backend / Бэкэнд разработчик | Удаленная работа | 150000 - 230000 руб | Компания «Секьюр-Ти» предоставляет услуги в области информационной безопасности а также разрабатывает собственный продукт - платформу по повышению осведомленности в сфере... | https://hh.ru/vacancy/69408727
Специалист по автоматизированному тестированию (Python) | None | 0 руб | Настраивать тестовые стенды (Linux (Centos)/Windows). Писать тестовую документацию (тест-кейсы, тест-планы, ПМИ, инструкции, отчеты). Понимать принципы DevOps и... | https://hh.ru/vacancy/70529252
Backend web developer PHP/Python | None | 80000 - 150000 руб | backend веб-разработка. - интеграция с веб-сервисами по API. Php/<highlighttext>python</highlighttext> для веб разработки. | https://hh.ru/vacancy/69763765
Python developer (ETL, ЦЕХ) | Удаленная работа | 0 руб | Участие в разработке архитектуры и создании библиотек ETL Framework для загрузки в DWH Greenplum. Разработка API асинхронных служебных сервисов. | https://hh.ru/vacancy/70522882
Python Developer (Dagster, Big Data) | None | 0 руб | Интеграция Dagster c KeyCloak для авторизации и построения полноценного RBAC, разработка механизмов для взаимодействия с KeyCloak через Starlette поверх GraphQL.  | https://hh.ru/vacancy/55126935
Ведущий Python разработчик (Django) | None | 0 руб | Проект: внутренний продукт для сотрудников подразделения технической аренды Компании. Реализация нового продукта комплексной автоматизации. Проектирование и разработка API.  | https://hh.ru/vacancy/69273532
Специалист по тестированию АФТ (Python) | Удаленная работа | 0 руб | None | https://hh.ru/vacancy/70340197
Senior Backend Python Developer | None | 0 руб | Будем дорабатывать CRM-систему и разрабатывать чат поддержки пользователей (интеграции, API, автотесты и работа с базами данных). | https://hh.ru/vacancy/70534907
QA инженер (Python) | None | 0 руб | Писать автотесты на новый функционал на <highlighttext>Python</highlighttext>. Выполнять функциональное и нагрузочное тестирование. Улучшать CI/CD процессы. Заниматься поддержкой тестов.  | https://hh.ru/vacancy/55893389
Программист middle python developer | None | до 150000 руб | Разработка и поддержка клиентских и не только интерфейсов. Программирование <highlighttext>Python</highlighttext>. Ждем в команду программиста backend или full-stack, который знаком... | https://hh.ru/vacancy/69328736
Python разработчик (senior) | None | 0 руб | Описание проекта: Мы разрабатываем технологическую платформу для производства, хранения и дистрибуции медиа контента. Решение позволит сократить T2Mподготовки и... | https://hh.ru/vacancy/69335435
Системный инженер | None | 150000 - 170000 руб | Участие в проектах, затрагивающих загрузку, хранение, обработку и анализ данных. Мониторинг, диагностика и оперативное устранение проблем в функционировании сервисов, контроль... | https://hh.ru/vacancy/69517355
Python developer (Django) | Удаленная работа | 0 руб | Дополнительные бонусы: аккредитованная IT-компания, программа лояльности, скидки от партнеров, программа материальной помощи, сервис по отслеживанию физического и ментального здоровья... | https://hh.ru/vacancy/70365652
Разработчик - геофизик (python) | None | 0 руб | Участие в разработке программного обеспечения. Исполнение вверенных проектов по профильному направлению. Участие в подготовке проектной документации, программ и методик испытаний.  | https://hh.ru/vacancy/69809365
Старший Python разработчик | Удаленная работа | 180000 - 250000 руб | Разработка сложных программных продуктов. Поддержка и модернизация существующих решений. Участие в развитии продукта. Участие во всём процессе разработки - от проектирования... | https://hh.ru/vacancy/69389202
Backend developer (Python) | None | 0 руб | Разработку нового функционала. Рефакторинг текущей кодовой базы. Участие в проектировании систем с чистого листа. Проектирование архитектуры веб-сервисов и REST... | https://hh.ru/vacancy/69553856
Data Engineer (Golang) | None | до 270000 руб | Разработка сервиса сбора, хранения и доступа к статистике и данным. Проектирование, деплой и поддержка инфраструктуры проекта. | https://hh.ru/vacancy/70475854
Backend-разработчик (Python)/Риск-менеджмент, Департамент управленческого консультирования | Удаленная работа | 0 руб | Участие в разработке инновационных решений по управлению кредитными рисками совместно с командами аналитиков и специалистов по ИТ-инфраструктуре.  | https://hh.ru/vacancy/70401826
Data Analyst | None | 100000 - 150000 руб | Искать всевозможные взаимосвязи для определения синергии между продуктами. Определять тренды, создавать много дешбордов для управленческого контроля. Внесение предложений по улучшению... | https://hh.ru/vacancy/68380428
Senior Python developer | None | 0 руб | Разработка и сопровождение существующего основного продукта компании FindFace Multi (<highlighttext>Python</highlighttext> 3.6+). Code review и участие в обсуждении задач... | https://hh.ru/vacancy/66522082
Python-разработчик (Junior+) | None | 80000 - 120000 руб | None | https://hh.ru/vacancy/69953066
Middle Backend Engineer (Python) | None | 150000 - 250000 руб | Платформа работает с множеством различных слоев данных, в том числе с лидарными облаками точек, фотограмметрическими и 3Д-моделями (BIM... | https://hh.ru/vacancy/69618811
Research Developer (Python) | None | 0 руб | Поиск неоптимальностей в работе продукта. Проведение исследований сложных случаев подтормаживаний и лагов. Предлагать улучшения архитектуры и алгоритмов. Принимать участие в... | https://hh.ru/vacancy/53162087
Automation QA (Java\Python) | Удаленная работа | 180000 - 280000 руб | Будет большим плюсом: написание Java автотестов. - Написание автоматизированных проверок. - Обнаружение, документирование и отслеживание дефектов. - Участие в проработке задач, взаимодействие с... | https://hh.ru/vacancy/69370542
Data Analyst (mobile games) | None | 0 руб | Исследовать аномалии в продуктах и искать их причины. Вести АБ-тесты, от формирования гипотезы до проверки результатов. Участвовать в разработке... | https://hh.ru/vacancy/68858359
Data scientist/Phyton Developer | None | 0 руб | Написание запросов к базам данных и визуализация полученных результатов. Построение оценочных и поведенческих скоринговых моделей. Анализ дополнительных источников данных для... | https://hh.ru/vacancy/69542861
Разработчик Python (middle) | None | 0 руб | Основной стэк: админка и ETL-процессы - <highlighttext>Python</highlighttext>, серверная часть - C++, клиентская часть - C#. Задачи, которые предстоит выполнять: Проектирование, разработка и... | https://hh.ru/vacancy/69390872
Руководитель группы бэкенд разработки на Python | None | 350000 - 350000 руб | Участие в выработке целевого решения по реализации функционала продукта. Участие в командных мероприятиях (Daily, Planning, Grooming, Retro, Demo).  | https://hh.ru/vacancy/70010596
Team Lead Python | Удаленная работа | 0 руб | Отвечать за архитектуру продукта, оптимальную для решения бизнес-задач. Работать с PdM и PDL над дорожной картой продукта.  | https://hh.ru/vacancy/69577881
Data Engineer | Удаленная работа Опыт не нужен | 0 руб | Дизайн и разработка витрин в Azure. Дизайн, разработка и поддержка ETL процессов для загрузки данных в/из Data Lake.  | https://hh.ru/vacancy/69811783
Python Developer (Middle+) | Удаленная работа | до 240000 руб | Разработка высоконагруженного проекта на django. Написание юнит-тестов. Коммуникация с менеджерами, командой FrontEnd и QA. Интеграция партнёрских сервисов. | https://hh.ru/vacancy/69576307
Data Engineer DWH | Удаленная работа | 0 руб | Разработка хранилища данных на базе Greenplum. Построение ETL-процессов поставки данных с помощью DBT и Airflow. Расчет сложных аналитических показателей... | https://hh.ru/vacancy/69755883
Бизнес-аналитик | None | 0 руб | Прием задач от бизнес-заказчиков: взаимодействие с заказчиками, подготовка функционально-технических требований. Анализ бизнес-требований, определение и анализ источников данных.  | https://hh.ru/vacancy/70532972
Teamlead Python | Удаленная работа | 0 руб | Стандартизировать и оптимизировать процесс разработки (в связке с продакт и проджект менеджерами). Курировать команду разработчиков (5+ человек), активно участвовать... | https://hh.ru/vacancy/69590930
Преподаватель компьютерных курсов для взрослых Python | None | 0 руб | Преподавание в виде практических занятий в группах до 16 человек в соответствии с учебными планами и материалами. - Участие в мероприятиях... | https://hh.ru/vacancy/70515628
Middle разработчик нейросетевых алгоритмов / Reinforcement Learning | None | 120000 - 210000 руб | Исследования в области Reinforcement learning. Изучение SOTA алгоритмов и областей их применения, адаптация для собственных задач. Сравнение различных алгоритмов применительно... | https://hh.ru/vacancy/69990126
Python Developer | None | 0 руб | Разрабатывать серверные компоненты распределенной системы, удовлетворяющие предъявляемым требованиям. Работать вместе с другими продуктовыми командами над реализацией адаптеров и взаимодействия компонентов.  | https://hh.ru/vacancy/70098984
Программист разработчик SQL (SQL Developer) | None | 90000 - 150000 руб | Разработка программ соответственно поставленной задачи на основе анализа математических моделей и алгоритмов решения экономических и других задач. - Тестирование и отладка... | https://hh.ru/vacancy/69012358
Программист Python | None | 105 - 215000 руб | None | https://hh.ru/vacancy/69989503
Backend разработчик python | Удаленная работа | 0 руб | Участие в проектировании и реализации архитектурных решений. Реализация модулей взаимодействия между сервисами, приложениями и серверами. Код- ревью разработки внешней команды. | https://hh.ru/vacancy/69286253
Разработчик python (Middle/Senior) | Удаленная работа | 0 руб | Интересные проекты и современный стек (Celery, FastAPI, Tornado, PostgreSQL, RabbitMQ, Docker. Для разработки используем VS Code, Gitlab, Jira, Confluence).  | https://hh.ru/vacancy/69332000
Data-инженер | Удаленная работа | 0 руб | Участие в разработке ядра продуктов Data Platform. Разработка и оптимизация процессов выгрузки данных. | https://hh.ru/vacancy/70519504
Стажер computer vision (удалённо) | Опыт не нужен | 0 руб | Мы компания по разработке и внедрению видео аналитики. В прохождении стажировки вы будите работать с реальными данными с камер видеонаблюдения... | https://hh.ru/vacancy/70128788
Разработчик Python под Linux | Удаленная работа | от 120000 руб | Разрабатывать микросервисы с использованием Asyncio и AioHTTP. Разрабатывать демоны по настройке и управлению сетью. Писать системные утилиты в Linux.  | https://hh.ru/vacancy/38348123
Senior python developer | None | от 250000 руб | Разрабатывать высоконагруженные (и не только) сервисы. Проводить Code Review и улучшать Code Style. Разрабатывать высокопроизводительные ETL сервисы и пайплайны.  | https://hh.ru/vacancy/67462869
Python Developer (Lead/Senior) | None | 0 руб | Разработка высоконагруженного проекта в сфере логистики с bigdata (проект NDA - подробнее расскажем на собеседовании). | https://hh.ru/vacancy/70278353
Python developer (Openstack) | None | 0 руб | Доработка и кастомизация компонент OpenStack (nova, cinder, neutron, glance, keystone и др.), исправление дефектов в компонентах в рамках задач по... | https://hh.ru/vacancy/70217408
Python Developer | None | 0 руб | Предстоит улучшать и расширять набор готовых блоков для создания сценариев офисной автоматизации(Web, Excel, Word, SAP и прочие приложения).  | https://hh.ru/vacancy/69088651
Data Engineer (Big Data) | None | 0 руб | Разрабатывать ETL-процессы с использованием библиотеки Apache Spark на Scala. Анализировать, проектировать и создавать витрины данных в соответствии с требованиями... | https://hh.ru/vacancy/68841364
Middle Разработчик Python на платежную платформу | None | от 210000 руб | Поддержка существующего финтех проекта (процессинг платежей), дальнейшее его развитие (интеграции, фичи). | https://hh.ru/vacancy/69668681
Lead Machine Learning Developer | Удаленная работа | 330000 - 480000 руб | Build and deploy machine learning models. Validate and test results of your pipelines. Help business to translate ML metrics into... | https://hh.ru/vacancy/69470947
Python TechLead (MTS AI) | None | 0 руб | В составе продуктовой команды выполнять декомпозицию и планирование трудоёмкости и сроков реализации задач разработки продукта и компонент продукта в рамках... | https://hh.ru/vacancy/69700872
ML engineer | Удаленная работа | от 250000 руб | Развивать платформу хранения и обработки данных. Внедрять новые инструменты для продуктовой аналитики и машинного обучения. Решать задачи производительности и отказоустойчивости... | https://hh.ru/vacancy/68579035
Fullstack разработчик (React / python) | None | 80000 - 120000 руб | Работа преимущественно на стороне frontend, но обязательны также базовые знания <highlighttext>python</highlighttext>. Написание новых сервисов. Поддержка имеющихся. Работать преимущественно с готовой... | https://hh.ru/vacancy/69760535
Инженер DevOps | None | от 130000 руб | Быстрое устранение инцидентов, помощь отделам разработки. Настройка CI/CD (Gitlab, Jenkins). Развитие и сопровождение окружений разработки, тестирования, Production.  | https://hh.ru/vacancy/70423813
Ведущий разработчик Python | None | 0 руб | None | https://hh.ru/vacancy/54527537
Backend разработчик (Python) | Удаленная работа | от 150000 руб | Участие в разработке бэкенда облачного сервиса. | https://hh.ru/vacancy/67764198
Бэкенд-разработчик Python (Middle) | None | 0 руб | Поддержка и разработка новых фич в микросервисах на <highlighttext>python</highlighttext>, работа с БД mysql и postgres. Используемые инструменты командной разработки: gitlab... | https://hh.ru/vacancy/67599054
Python Middle/Seniour Разработчик | Удаленная работа | 90000 - 150000 руб | У нас проект по анализу криптовалютных проектов. Основное направление - анализ по подпискам в твиттере. Данные берутся через Twitter API. | https://hh.ru/vacancy/70489596
Программист Python | None | 0 руб | Разработка кастомизаций с использованием скриптов на Groovy. Разработка кода на <highlighttext>Python</highlighttext> (на уровне написания веб-сервисов), sql, unix, bash, docker.  | https://hh.ru/vacancy/69163506
Разработчик Back-end | None | 150000 - 180000 руб | Разработка новых облачных сервисов и API интерфейсов для охранно-пожарного оборудования. Разработка сервисов идет на базе <highlighttext>Python</highlighttext> 3.7+... | https://hh.ru/vacancy/54927527
Python/Erlang-разработчик (middle, дистанционно) | None | 0 руб | Разработка на <highlighttext>Python</highlighttext>. Поддержка кода на Erlang. Разработка микросервисов и описание протоколов их взаимодействия. Поддержка и доработка шины данных и... | https://hh.ru/vacancy/69951508
QA Automation (Python) | Удаленная работа | 0 руб | Автоматизация тестирования крупного e-commerce продукта. Написание автотестов по существующим тест кейсам, а также на основе API-doc.  | https://hh.ru/vacancy/69417621
Data scientist (Антифрод) | Удаленная работа | 0 руб | Анализировать данные и выдвигать гипотезы по новым типам нарушений. Разрабатывать новые механики автоматической проверки объявлений. Оценивать результаты внедренных моделей.  | https://hh.ru/vacancy/67820939
QA engineer (Python) | None | 0 руб | Развивать и поддерживать фреймворк для тестирования. Инициатива по улучшению фреймворка или тестов - приветствуется. | https://hh.ru/vacancy/67264411
Разработчик Python, PHP | None | 0 руб | Разработка веб-приложений. Разработка нового функционала сервисов на языках: PHP, <highlighttext>Python</highlighttext>. Разработка/доработка инструментов тестирования. Анализ бизнес‐требований, выбор оптимального... | https://hh.ru/vacancy/69746235
Программист Python | None | 115000 - 220000 руб | None | https://hh.ru/vacancy/66974182
Разработчик Python Senior | None | 0 руб | Проектирование и разработка backend в SaaS. Проектирование и разработка сложных API. Написание промышленных парсеров с обходом защиты от парсинга (например... | https://hh.ru/vacancy/69857740
Ведущий разработчик Python | Удаленная работа | 0 руб | Развивать и поддерживать микросервисный бэкенд-платформу с высокими нагрузками. Работать в тесной связке с дата аналитиками. Писать качественный, понятный коллегам... | https://hh.ru/vacancy/70348684
Преподаватель по курсу Python | None | 0 руб | Проводить лекции по <highlighttext>Python</highlighttext>. Уроки проходят в онлайн среде. Проверять работы школьников по курсу <highlighttext>Python</highlighttext>. Давать обратную связь детям по... | https://hh.ru/vacancy/70471877
SRE/Системный администратор Linux | None | 280000 - 340000 руб | Администрирование инфраструктуры. Траблшутинг. Управление мониторингами качества работы проектов. Реакция на инциденты и последующий анализ. Работа с Kubernetes. | https://hh.ru/vacancy/69527172
Разработчик Python | None | от 300000 руб | Базы данных: Postgres, Clickhouse. Взаимодействия: REST API, JSON, Rabbit MQ. Разработка: <highlighttext>Python</highlighttext>, React, Ruby. Умеете разделять приложение на сервисы, предлагать... | https://hh.ru/vacancy/69297147
QA Engineer (Hardware + Python) | None | 0 руб | Писать hardware тесты. Это как unit тесты, но в тестах происходит взаимодействие с “железом”. Железо - это спутник и его бортовые... | https://hh.ru/vacancy/70375910
Младший разработчик BI | None | 0 руб | Анализ эффективности запросов. Разработка аналитической и регламентной отчетности. Написание программного кода и отладка программ на С#, <highlighttext>Python</highlighttext> и внутренних языках... | https://hh.ru/vacancy/69949700
Backend developer (C#, Python) | None | 0 руб | Разработка, отладка в продуктивной/тестовой среде, сопровождение программных роботов на RPA платформе Sherpa. Разработка проектной и пользовательской документации по создаваемым... | https://hh.ru/vacancy/69581058
Python-разработчик (краудсорсинговая платформа TagMe) | None | 200000 - 400000 руб | Разрабатывать сервисы на <highlighttext>Python</highlighttext>, работать с PostgreSQL. | https://hh.ru/vacancy/69498870
Python Team Lead | None | 0 руб | Сотрудничаем с российскими и зарубежными заказчиками, предлагаем индивидуальные концепции и IT-решения для каждого клиента. - Разработка web части сайтов на... | https://hh.ru/vacancy/69169263
Middle Python разработчик | None | 0 руб | Разработка на <highlighttext>Python</highlighttext>. Разработка скриптов для БД PostgreSQL. Написание тестов. Участие в разработке архитектуры продукта. Взаимодействие с бизнес-подразделением (проведение... | https://hh.ru/vacancy/70033126
Стажер-разработчик (Machine Learning) | Опыт не нужен | 0 руб | Решение сложных задач для улучшения жизни людей. | https://hh.ru/vacancy/70026582
